,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptEnvironmentAccountConnection,Grants permission to reject an environment account connection request from another environment account,Write,environment-account-connection*,,
1,CancelComponentDeployment,Grants permission to cancel component deployment,Write,component*,,
2,CancelEnvironmentDeployment,Grants permission to cancel an environment deployment,Write,environment*,,
3,CancelEnvironmentDeployment,Grants permission to cancel an environment deployment,Write,,proton:EnvironmentTemplate,
4,CancelServiceInstanceDeployment,Grants permission to cancel a service instance deployment,Write,service-instance*,,
5,CancelServiceInstanceDeployment,Grants permission to cancel a service instance deployment,Write,,proton:ServiceTemplate,
6,CancelServicePipelineDeployment,Grants permission to cancel a service pipeline deployment,Write,service*,,
7,CancelServicePipelineDeployment,Grants permission to cancel a service pipeline deployment,Write,,proton:ServiceTemplate,
8,CreateComponent,Grants permission to create component,Write,component*,,
9,CreateComponent,Grants permission to create component,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
10,CreateEnvironment,Grants permission to create an environment,Write,environment*,,iam:PassRole
11,CreateEnvironment,Grants permission to create an environment,Write,,aws:TagKeys  aws:RequestTag/${TagKey}  proton:EnvironmentTemplate,
12,CreateEnvironmentAccountConnection,Grants permission to create an environment account connection,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
13,CreateEnvironmentTemplate,Grants permission to create an environment template,Write,environment-template*,,
14,CreateEnvironmentTemplate,Grants permission to create an environment template,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
15,CreateEnvironmentTemplateMajorVersion,Grants permission to create an environment template major version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,environment-template*,,
16,CreateEnvironmentTemplateMajorVersion,Grants permission to create an environment template major version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
17,CreateEnvironmentTemplateMinorVersion,Grants permission to create an environment template minor version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,environment-template*,,
18,CreateEnvironmentTemplateMinorVersion,Grants permission to create an environment template minor version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
19,CreateEnvironmentTemplateVersion,Grants permission to create an environment template version,Write,environment-template*,,
20,CreateEnvironmentTemplateVersion,Grants permission to create an environment template version,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
21,CreateRepository,Grants permission to create a repository,Write,repository*,,
22,CreateRepository,Grants permission to create a repository,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
