,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,action*,,
1,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,artifact*,,
2,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,context*,,
3,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,experiment*,,
4,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,experiment-trial-component*,,
5,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,action,,
6,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,algorithm,,
7,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,app,,
8,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,app-image-config,,
9,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,artifact,,
10,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,automl-job,,
11,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,code-repository,,
12,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,context,,
13,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,data-quality-job-definition,,
14,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,device,,
15,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,device-fleet,,
16,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,domain,,
17,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,edge-packaging-job,,
18,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,endpoint,,
19,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,endpoint-config,,
20,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,experiment,,
21,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,experiment-trial,,
22,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,experiment-trial-component,,
23,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,feature-group,,
24,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,flow-definition,,
25,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,human-task-ui,,
26,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,hyper-parameter-tuning-job,,
27,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,image,,
28,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,inference-recommendations-job,,
29,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,labeling-job,,
30,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,lineage-group,,
31,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model,,
32,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-bias-job-definition,,
33,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-explainability-job-definition,,
34,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-package,,
35,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-package-group,,
36,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-quality-job-definition,,
37,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,monitoring-schedule,,
38,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,notebook-instance,,
39,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,pipeline,,
40,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,processing-job,,
41,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,project,,
42,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,studio-lifecycle-config,,
43,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,training-job,,
44,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,transform-job,,
45,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,user-profile,,
46,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,workforce,,
47,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,workteam,,
48,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
49,AssociateTrialComponent,Grants permission to associate a trial component with a trial,Write,experiment-trial*,,
50,AssociateTrialComponent,Grants permission to associate a trial component with a trial,Write,experiment-trial-component*,,
51,BatchDescribeModelPackage,Grants permission to describe one or more ModelPackages,Read,model-package*,,
52,BatchGetMetrics [permission only],"Grants permission to retrieve metrics associated with SageMaker Resources such as Training Jobs. This API is not publicly exposed at this point, however admins can control this action",Read,training-job*,,
53,BatchGetRecord,Grants permission to get a batch of records from one or more feature groups,Read,feature-group*,,
54,BatchPutMetrics [permission only],"Grants permission to publish metrics associated with a SageMaker Resource such as a Training Job. This API is not publicly exposed at this point, however admins can control this action",Write,training-job*,,
55,CreateAction,Grants permission to create an action,Write,action*,,
56,CreateAction,Grants permission to create an action,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
57,CreateAlgorithm,Grants permission to create an algorithm,Write,algorithm*,,
58,CreateAlgorithm,Grants permission to create an algorithm,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
59,CreateApp,Grants permission to create an App for a SageMaker Studio UserProfile,Write,app*,,
60,CreateApp,Grants permission to create an App for a SageMaker Studio UserProfile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:ImageArns  sagemaker:ImageVersionArns,
61,CreateAppImageConfig,Grants permission to create an AppImageConfig,Write,app-image-config*,,
62,CreateAppImageConfig,Grants permission to create an AppImageConfig,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
63,CreateArtifact,Grants permission to create an artifact,Write,artifact*,,
64,CreateArtifact,Grants permission to create an artifact,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
65,CreateAutoMLJob,Grants permission to create an AutoML job,Write,automl-job*,,iam:PassRole
66,CreateAutoMLJob,Grants permission to create an AutoML job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InterContainerTrafficEncryption  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
67,CreateCodeRepository,Grants permission to create a CodeRepository,Write,code-repository*,,
68,CreateCodeRepository,Grants permission to create a CodeRepository,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
69,CreateCompilationJob,Grants permission to create a compilation job,Write,compilation-job*,,iam:PassRole
70,CreateCompilationJob,Grants permission to create a compilation job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
71,CreateContext,Grants permission to create a context,Write,context*,,
72,CreateContext,Grants permission to create a context,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
73,CreateDataQualityJobDefinition,Grants permission to create a data quality job definition,Write,data-quality-job-definition*,,iam:PassRole
