,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchCreatePartition,Grants permission to create one or more partitions,Write,catalog*,,
1,BatchCreatePartition,Grants permission to create one or more partitions,Write,database*,,
2,BatchCreatePartition,Grants permission to create one or more partitions,Write,table*,,
3,BatchDeleteConnection,Grants permission to delete one or more connections,Write,catalog*,,
4,BatchDeleteConnection,Grants permission to delete one or more connections,Write,connection*,,
5,BatchDeletePartition,Grants permission to delete one or more partitions,Write,catalog*,,
6,BatchDeletePartition,Grants permission to delete one or more partitions,Write,database*,,
7,BatchDeletePartition,Grants permission to delete one or more partitions,Write,table*,,
8,BatchDeleteTable,Grants permission to delete one or more tables,Write,catalog*,,
9,BatchDeleteTable,Grants permission to delete one or more tables,Write,database*,,
10,BatchDeleteTable,Grants permission to delete one or more tables,Write,table*,,
11,BatchDeleteTableVersion,Grants permission to delete one or more versions of a table,Write,catalog*,,
12,BatchDeleteTableVersion,Grants permission to delete one or more versions of a table,Write,database*,,
13,BatchDeleteTableVersion,Grants permission to delete one or more versions of a table,Write,table*,,
14,BatchGetBlueprints,Grants permission to retrieve one or more blueprints,Read,blueprint*,,
15,BatchGetCrawlers,Grants permission to retrieve one or more crawlers,Read,crawler*,,
16,BatchGetCustomEntityTypes,Grants permission to retrieve one or more Custom Entity Types,Read,,,
17,BatchGetDevEndpoints,Grants permission to retrieve one or more development endpoints,Read,devendpoint*,,
18,BatchGetJobs,Grants permission to retrieve one or more jobs,Read,job*,,
19,BatchGetPartition,Grants permission to retrieve one or more partitions,Read,catalog*,,
20,BatchGetPartition,Grants permission to retrieve one or more partitions,Read,database*,,
21,BatchGetPartition,Grants permission to retrieve one or more partitions,Read,table*,,
22,BatchGetTriggers,Grants permission to retrieve one or more triggers,Read,trigger*,,
23,BatchGetWorkflows,Grants permission to retrieve one or more workflows,Read,workflow*,,
24,BatchStopJobRun,Grants permission to stop one or more job runs for a job,Write,job*,,
25,BatchUpdatePartition,Grants permission to update one or more partitions,Write,catalog*,,
26,BatchUpdatePartition,Grants permission to update one or more partitions,Write,database*,,
27,BatchUpdatePartition,Grants permission to update one or more partitions,Write,table*,,
28,CancelMLTaskRun,Grants permission to stop a running ML Task Run,Write,mlTransform*,,
29,CancelStatement,Grants permission to cancel a statement in an interactive session,Write,session*,,
30,CheckSchemaVersionValidity,Grants permission to retrieve a check the validity of schema version,Read,,,
31,CreateBlueprint,Grants permission to create a blueprint,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
