,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchPutPropertyValues,Grants permission to set values for multiple time series properties,Write,workspace*,,iottwinmaker:GetComponentType  iottwinmaker:GetEntity  iottwinmaker:GetWorkspace
1,BatchPutPropertyValues,Grants permission to set values for multiple time series properties,Write,entity,,
2,CreateComponentType,Grants permission to create a componentType,Write,workspace*,,
3,CreateComponentType,Grants permission to create a componentType,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateEntity,Grants permission to create an entity,Write,workspace*,,
5,CreateEntity,Grants permission to create an entity,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateScene,Grants permission to create a scene,Write,workspace*,,
7,CreateScene,Grants permission to create a scene,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateWorkspace,Grants permission to create a workspace,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteComponentType,Grants permission to delete a componentType,Write,componentType*,,
10,DeleteComponentType,Grants permission to delete a componentType,Write,workspace*,,
11,DeleteEntity,Grants permission to delete an entity,Write,entity*,,
12,DeleteEntity,Grants permission to delete an entity,Write,workspace*,,
13,DeleteScene,Grants permission to delete a scene,Write,scene*,,
14,DeleteScene,Grants permission to delete a scene,Write,workspace*,,
15,DeleteWorkspace,Grants permission to delete a workspace,Write,workspace*,,
16,ExecuteQuery,Grants permission to execute query,Read,workspace*,,
17,GetComponentType,Grants permission to get a componentType,Read,componentType*,,
18,GetComponentType,Grants permission to get a componentType,Read,workspace*,,
19,GetEntity,Grants permission to get an entity,Read,entity*,,
20,GetEntity,Grants permission to get an entity,Read,workspace*,,
21,GetPricingPlan,Grants permission to get pricing plan,Read,,,
22,GetPropertyValue,Grants permission to retrieve the property values,Read,workspace*,,iottwinmaker:GetComponentType  iottwinmaker:GetEntity  iottwinmaker:GetWorkspace
23,GetPropertyValue,Grants permission to retrieve the property values,Read,componentType,,
24,GetPropertyValue,Grants permission to retrieve the property values,Read,entity,,
25,GetPropertyValueHistory,Grants permission to retrieve the time series value history,Read,workspace*,,iottwinmaker:GetComponentType  iottwinmaker:GetEntity  iottwinmaker:GetWorkspace
26,GetPropertyValueHistory,Grants permission to retrieve the time series value history,Read,componentType,,
27,GetPropertyValueHistory,Grants permission to retrieve the time series value history,Read,entity,,
28,GetScene,Grants permission to get a scene,Read,scene*,,
29,GetScene,Grants permission to get a scene,Read,workspace*,,
30,GetWorkspace,Grants permission to get a workspace,Read,workspace*,,
31,ListComponentTypes,Grants permission to list all componentTypes in a workspace,List,workspace*,,
32,ListEntities,Grants permission to list all entities in a workspace,List,workspace*,,
33,ListScenes,Grants permission to list all scenes in a workspace,List,workspace*,,
34,ListTagsForResource,Grants permission to list all tags for a resource,List,componentType,,
35,ListTagsForResource,Grants permission to list all tags for a resource,List,entity,,
36,ListTagsForResource,Grants permission to list all tags for a resource,List,scene,,
37,ListTagsForResource,Grants permission to list all tags for a resource,List,workspace,,
38,ListTagsForResource,Grants permission to list all tags for a resource,List,,aws:ResourceTag/${TagKey},
39,ListWorkspaces,Grants permission to list all workspaces,List,,,
40,TagResource,Grants permission to tag a resource,Tagging,componentType,,
41,TagResource,Grants permission to tag a resource,Tagging,entity,,
42,TagResource,Grants permission to tag a resource,Tagging,scene,,
43,TagResource,Grants permission to tag a resource,Tagging,workspace,,
44,TagResource,Grants permission to tag a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
45,UntagResource,Grants permission to untag a resource,Tagging,componentType,,
46,UntagResource,Grants permission to untag a resource,Tagging,entity,,
47,UntagResource,Grants permission to untag a resource,Tagging,scene,,
48,UntagResource,Grants permission to untag a resource,Tagging,workspace,,
49,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys,
50,UpdateComponentType,Grants permission to update a componentType,Write,componentType*,,
51,UpdateComponentType,Grants permission to update a componentType,Write,workspace*,,
52,UpdateEntity,Grants permission to update an entity,Write,entity*,,
53,UpdateEntity,Grants permission to update an entity,Write,workspace*,,
54,UpdatePricingPlan,Grants permission to update pricing plan,Write,,,
55,UpdateScene,Grants permission to update a scene,Write,scene*,,
56,UpdateScene,Grants permission to update a scene,Write,workspace*,,
57,UpdateWorkspace,Grants permission to update a workspace,Write,workspace*,,
