,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateConfigurationSet,Grants permission to create a new configuration set,Write,configuration-set*,,
1,CreateConfigurationSet,Grants permission to create a new configuration set,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
2,CreateConfigurationSetEventDestination,Grants permission to create a configuration set event destination,Write,configuration-set*,,
3,CreateConfigurationSetEventDestination,Grants permission to create a configuration set event destination,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
4,CreateContact,Grants permission to create a contact,Write,contact-list*,,
5,CreateContact,Grants permission to create a contact,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
6,CreateContactList,Grants permission to create a contact list,Write,contact-list*,,
7,CreateContactList,Grants permission to create a contact list,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
8,CreateCustomVerificationEmailTemplate,Grants permission to create a new custom verification email template,Write,custom-verification-email-template*,,
9,CreateCustomVerificationEmailTemplate,Grants permission to create a new custom verification email template,Write,,ses:ApiVersion,
10,CreateDedicatedIpPool,Grants permission to create a new pool of dedicated IP addresses,Write,dedicated-ip-pool*,,
11,CreateDedicatedIpPool,Grants permission to create a new pool of dedicated IP addresses,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
12,CreateDeliverabilityTestReport,Grants permission to create a new predictive inbox placement test,Write,identity*,,
13,CreateDeliverabilityTestReport,Grants permission to create a new predictive inbox placement test,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
14,CreateEmailIdentity,Grants permission to start the process of verifying an email identity,Write,identity*,,
15,CreateEmailIdentity,Grants permission to start the process of verifying an email identity,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
16,CreateEmailIdentityPolicy,Grants permission to create the specified sending authorization policy for the given identity,Permissions management,identity*,,
17,CreateEmailIdentityPolicy,Grants permission to create the specified sending authorization policy for the given identity,Permissions management,,ses:ApiVersion  aws:ResourceTag/${TagKey},
18,CreateEmailTemplate,Grants permission to create an email template,Write,template*,,
19,CreateEmailTemplate,Grants permission to create an email template,Write,,ses:ApiVersion,
20,CreateImportJob,Grants permission to creates an import job for a data destination,Write,,ses:ApiVersion,
21,DeleteConfigurationSet,Grants permission to delete an existing configuration set,Write,configuration-set*,,
22,DeleteConfigurationSet,Grants permission to delete an existing configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
23,DeleteConfigurationSetEventDestination,Grants permission to delete an event destination,Write,configuration-set*,,
24,DeleteConfigurationSetEventDestination,Grants permission to delete an event destination,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
25,DeleteContact,Grants permission to delete a contact from a contact list,Write,contact-list*,,
26,DeleteContact,Grants permission to delete a contact from a contact list,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
27,DeleteContactList,Grants permission to delete a contact list with all of its contacts,Write,contact-list*,,
28,DeleteContactList,Grants permission to delete a contact list with all of its contacts,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
29,DeleteCustomVerificationEmailTemplate,Grants permission to delete an existing custom verification email template,Write,custom-verification-email-template*,,
30,DeleteCustomVerificationEmailTemplate,Grants permission to delete an existing custom verification email template,Write,,ses:ApiVersion,
31,DeleteDedicatedIpPool,Grants permission to delete a dedicated IP pool,Write,dedicated-ip-pool*,,
32,DeleteDedicatedIpPool,Grants permission to delete a dedicated IP pool,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
33,DeleteEmailIdentity,Grants permission to delete an email identity,Write,identity*,,
34,DeleteEmailIdentity,Grants permission to delete an email identity,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
35,DeleteEmailIdentityPolicy,Grants permission to delete the specified sending authorization policy for the given identity (an email address or a domain),Permissions management,identity*,,
36,DeleteEmailIdentityPolicy,Grants permission to delete the specified sending authorization policy for the given identity (an email address or a domain),Permissions management,,ses:ApiVersion  aws:ResourceTag/${TagKey},
37,DeleteEmailTemplate,Grants permission to delete an email template,Write,template*,,
38,DeleteEmailTemplate,Grants permission to delete an email template,Write,,ses:ApiVersion,
39,DeleteSuppressedDestination,Grants permission to remove an email address from the suppression list for your account,Write,,ses:ApiVersion,
40,GetAccount,Grants permission to get information about the email-sending status and capabilities for your account,Read,,ses:ApiVersion,
41,GetBlacklistReports,Grants permission to retrieve a list of the deny lists on which your dedicated IP addresses or tracked domains appear,Read,,ses:ApiVersion,
42,GetConfigurationSet,Grants permission to get information about an existing configuration set,Read,configuration-set*,,
43,GetConfigurationSet,Grants permission to get information about an existing configuration set,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
44,GetConfigurationSetEventDestinations,Grants permission to retrieve a list of event destinations that are associated with a configuration set,Read,configuration-set*,,
45,GetConfigurationSetEventDestinations,Grants permission to retrieve a list of event destinations that are associated with a configuration set,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
46,GetContact,Grants permission to return a contact from a contact list,Read,contact-list*,,
47,GetContact,Grants permission to return a contact from a contact list,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
48,GetContactList,Grants permission to return contact list metadata,Read,contact-list*,,
49,GetContactList,Grants permission to return contact list metadata,Read,,ses:ApiVersion,
50,GetCustomVerificationEmailTemplate,Grants permission to return the custom email verification template for the template name you specify,Read,custom-verification-email-template*,,
51,GetCustomVerificationEmailTemplate,Grants permission to return the custom email verification template for the template name you specify,Read,,ses:ApiVersion,
52,GetDedicatedIp,Grants permission to get information about a dedicated IP address,Read,,ses:ApiVersion,
53,GetDedicatedIpPool,Grants permission to get information about a dedicated IP pool,Read,dedicated-ip-pool*,,
54,GetDedicatedIpPool,Grants permission to get information about a dedicated IP pool,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
55,GetDedicatedIps,Grants permission to list the dedicated IP addresses a dedicated IP pool,Read,dedicated-ip-pool*,,
56,GetDedicatedIps,Grants permission to list the dedicated IP addresses a dedicated IP pool,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
57,GetDeliverabilityDashboardOptions,Grants permission to get the status of the Deliverability dashboard,Read,,ses:ApiVersion,
58,GetDeliverabilityTestReport,Grants permission to retrieve the results of a predictive inbox placement test,Read,deliverability-test-report*,,
59,GetDeliverabilityTestReport,Grants permission to retrieve the results of a predictive inbox placement test,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
60,GetDomainDeliverabilityCampaign,Grants permission to retrieve all the deliverability data for a specific campaign,Read,,ses:ApiVersion,
61,GetDomainStatisticsReport,Grants permission to retrieve inbox placement and engagement rates for the domains that you use to send email,Read,identity*,,
62,GetDomainStatisticsReport,Grants permission to retrieve inbox placement and engagement rates for the domains that you use to send email,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
63,GetEmailIdentity,Grants permission to get information about a specific identity,Read,identity*,,
64,GetEmailIdentity,Grants permission to get information about a specific identity,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
65,GetEmailIdentityPolicies,Grants permission to return the requested sending authorization policies for the given identity (an email address or a domain),Read,identity*,,
66,GetEmailIdentityPolicies,Grants permission to return the requested sending authorization policies for the given identity (an email address or a domain),Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
67,GetEmailTemplate,"Grants permission to return the template object, which includes the subject line, HTML part, and text part for the template you specify",Read,template*,,
68,GetEmailTemplate,"Grants permission to return the template object, which includes the subject line, HTML part, and text part for the template you specify",Read,,ses:ApiVersion,
69,GetImportJob,Grants permission to provide information about an import job,Read,import-job*,,
70,GetImportJob,Grants permission to provide information about an import job,Read,,ses:ApiVersion,
71,GetSuppressedDestination,Grants permission to retrieve information about a specific email address that's on the suppression list for your account,Read,,ses:ApiVersion,
72,ListConfigurationSets,Grants permission to list all of the configuration sets for your account,List,,ses:ApiVersion,
73,ListContactLists,Grants permission to list all of the contact lists available for your account,List,,ses:ApiVersion,
74,ListContacts,Grants permission to list the contacts present in a specific contact list,List,contact-list*,,
75,ListContacts,Grants permission to list the contacts present in a specific contact list,List,,ses:ApiVersion,
76,ListCustomVerificationEmailTemplates,Grants permission to list all of the existing custom verification email templates for your account,List,,ses:ApiVersion,
77,ListDedicatedIpPools,Grants permission to list all of the dedicated IP pools for your account,List,,ses:ApiVersion,
78,ListDeliverabilityTestReports,"Grants permission to retrieve the list of the predictive inbox placement tests that you've performed, regardless of their statuses, for your account",List,,ses:ApiVersion,
79,ListDomainDeliverabilityCampaigns,Grants permission to list deliverability data for campaigns that used a specific domain to send email during a specified time range,Read,,ses:ApiVersion,
80,ListEmailIdentities,Grants permission to list the email identities for your account,List,,ses:ApiVersion,
81,ListEmailTemplates,Grants permission to list all of the email templates for your account,List,,ses:ApiVersion,
82,ListImportJobs,Grants permission to list all of the import jobs for your account,List,,ses:ApiVersion,
83,ListSuppressedDestinations,Grants permission to list email addresses that are on the suppression list for your account,Read,,ses:ApiVersion,
84,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource for your account,Read,configuration-set,,
85,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource for your account,Read,contact-list,,
86,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource for your account,Read,dedicated-ip-pool,,
87,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource for your account,Read,deliverability-test-report,,
88,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource for your account,Read,identity,,
89,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource for your account,Read,,ses:ApiVersion,
90,PutAccountDedicatedIpWarmupAttributes,Grants permission to enable or disable the automatic warm-up feature for dedicated IP addresses,Write,,ses:ApiVersion,
91,PutAccountDetails,Grants permission to update your account details,Write,,ses:ApiVersion,
92,PutAccountSendingAttributes,Grants permission to enable or disable the ability to send email for your account,Write,,ses:ApiVersion,
93,PutAccountSuppressionAttributes,Grants permission to change the settings for the account-level suppression list,Write,,ses:ApiVersion,
94,PutConfigurationSetDeliveryOptions,Grants permission to associate a configuration set with a dedicated IP pool,Write,configuration-set*,,
95,PutConfigurationSetDeliveryOptions,Grants permission to associate a configuration set with a dedicated IP pool,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
96,PutConfigurationSetReputationOptions,Grants permission to enable or disable collection of reputation metrics for emails that you send using a particular configuration set,Write,configuration-set*,,
97,PutConfigurationSetReputationOptions,Grants permission to enable or disable collection of reputation metrics for emails that you send using a particular configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
98,PutConfigurationSetSendingOptions,Grants permission to enable or disable email sending for messages that use a particular configuration set,Write,configuration-set*,,
99,PutConfigurationSetSendingOptions,Grants permission to enable or disable email sending for messages that use a particular configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
100,PutConfigurationSetSuppressionOptions,Grants permission to specify the account suppression list preferences for a particular configuration set,Write,configuration-set*,,
101,PutConfigurationSetSuppressionOptions,Grants permission to specify the account suppression list preferences for a particular configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
102,PutConfigurationSetTrackingOptions,Grants permission to specify a custom domain to use for open and click tracking elements in email that you send for a particular configuration set,Write,configuration-set*,,
103,PutConfigurationSetTrackingOptions,Grants permission to specify a custom domain to use for open and click tracking elements in email that you send for a particular configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
104,PutDedicatedIpInPool,Grants permission to move a dedicated IP address to an existing dedicated IP pool,Write,dedicated-ip-pool*,,
105,PutDedicatedIpInPool,Grants permission to move a dedicated IP address to an existing dedicated IP pool,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
106,PutDedicatedIpWarmupAttributes,Grants permission to put Dedicated IP warm up attributes,Write,,ses:ApiVersion,
107,PutDeliverabilityDashboardOption,Grants permission to enable or disable the Deliverability dashboard,Write,,ses:ApiVersion,
108,PutEmailIdentityConfigurationSetAttributes,Grants permission to associate a configuration set with an email identity,Write,identity*,,
109,PutEmailIdentityConfigurationSetAttributes,Grants permission to associate a configuration set with an email identity,Write,configuration-set,,
110,PutEmailIdentityConfigurationSetAttributes,Grants permission to associate a configuration set with an email identity,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
111,PutEmailIdentityDkimAttributes,Grants permission to enable or disable DKIM authentication for an email identity,Write,identity*,,
112,PutEmailIdentityDkimAttributes,Grants permission to enable or disable DKIM authentication for an email identity,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
113,PutEmailIdentityDkimSigningAttributes,Grants permission to configure or change the DKIM authentication settings for an email domain identity,Write,identity*,,
114,PutEmailIdentityDkimSigningAttributes,Grants permission to configure or change the DKIM authentication settings for an email domain identity,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
115,PutEmailIdentityFeedbackAttributes,Grants permission to enable or disable feedback forwarding for an email identity,Write,identity*,,
